Time,,Measurement
46:05.0,0,0
46:05.2,0.25,0.832765
46:05.5,0.5,1.178949
46:05.7,0.75,1.617181
46:06.0,1,2.095159
46:06.3,1.25,2.583487
46:06.5,1.5,3.085768
46:06.7,1.75,3.581714
46:07.0,2,3.919134
46:07.2,2.25,3.988667
46:07.5,2.5,4.015571
46:07.7,2.75,4.039914
46:08.0,3,4.059131
46:08.3,3.25,4.070662
46:08.5,3.5,4.087317
46:08.7,3.75,4.095004
46:09.0,4,4.102691
46:09.2,4.25,4.114222
46:09.5,4.5,4.125752
46:09.8,4.75,4.125752
46:10.0,5,4.137283
46:10.3,5.25,4.142408
46:10.5,5.5,4.148814
46:10.7,5.75,4.157782
46:11.0,6,4.168031
46:11.2,6.25,4.175718
46:11.5,6.5,4.175718
46:11.8,6.75,4.173156
46:12.0,7,4.184687
46:12.3,7.25,4.185968
46:12.5,7.5,4.189811
46:12.7,7.75,4.193655
46:13.0,8,4.193655
46:13.2,8.25,4.196217
46:13.5,8.5,4.200061
46:13.7,8.75,4.211591
46:14.0,9,4.206467
46:14.3,9.25,4.203904
46:14.5,9.5,4.209029
46:14.7,9.75,4.209029
46:15.0,10,4.205185
46:15.2,10.25,4.209029
46:15.5,10.5,4.209029
46:15.8,10.75,4.21031
46:16.0,11,4.216716
46:16.2,11.25,4.228247
46:16.5,11.5,4.223122
46:16.7,11.75,4.223122
46:17.0,12,4.226965
46:17.2,12.25,4.225684
46:17.5,12.5,4.228247
46:17.8,12.75,4.238496
46:18.0,13,4.237215
46:18.2,13.25,4.230809
46:18.5,13.5,4.238496
46:18.7,13.75,4.234653
46:19.0,14,4.241058
46:19.2,14.25,4.244902
46:19.5,14.5,4.251308
46:19.8,14.75,4.248745
46:20.0,15,4.25387
46:20.2,15.25,4.257714
46:20.5,15.5,4.261557
46:20.7,15.75,4.265401
46:21.0,16,4.276931
46:21.3,16.25,4.282056
46:21.5,16.5,4.287181
46:21.8,16.75,4.283337
46:22.0,17,4.289743
46:22.2,17.25,4.29743
46:22.5,17.5,4.302555
46:22.7,17.75,4.302555
46:23.0,18,4.312804
46:23.2,18.25,4.31921
46:23.5,18.5,4.337147
46:23.8,18.75,4.344834
46:24.0,19,4.353802
46:24.2,19.25,4.355083
46:24.5,19.5,4.347396
46:24.7,19.75,4.342271
46:25.0,20,4.325616
46:25.3,20.25,4.369176
46:25.5,20.5,4.412736
46:25.7,20.75,4.405049
46:26.0,21,4.419142
46:26.2,21.25,4.430187
46:26.5,21.5,4.434031
46:26.7,21.75,4.435311
46:27.0,22,4.437874
46:27.3,22.25,4.437874
46:27.5,22.5,4.432749
46:27.7,22.75,4.440436
46:28.0,23,4.440436
46:28.2,23.25,4.434031
46:28.5,23.5,4.437874
46:28.7,23.75,4.439155
46:29.0,24,4.434031
46:29.3,24.25,4.435311
46:29.5,24.5,4.435311
46:29.7,24.75,4.436593
46:30.0,25,4.435311
46:30.2,25.25,4.435311
46:30.5,25.5,4.436593
46:30.8,25.75,4.439155
46:31.0,26,4.439155
46:31.3,26.25,4.435311
46:31.5,26.5,4.437874
46:31.7,26.75,4.427625
46:32.0,27,4.431468
46:32.2,27.25,4.441718
46:32.5,27.5,4.441718
46:32.7,27.75,4.436593
46:33.0,28,4.436593
46:33.3,28.25,4.44428
46:33.5,28.5,4.440436
46:33.7,28.75,4.436593
46:34.0,29,4.436593
46:34.2,29.25,4.440436
46:34.5,29.5,4.432749
46:34.8,29.75,4.428905
46:35.0,30,4.425062
46:35.2,30.25,4.419938
46:35.5,30.5,4.4225
46:35.7,30.75,4.419938
46:36.0,31,4.4225
46:36.2,31.25,4.4225
46:36.5,31.5,4.421218
46:36.8,31.75,4.4225
46:37.0,32,4.417375
46:37.2,32.25,4.414813
46:37.5,32.5,4.417375
46:37.7,32.75,4.426343
46:38.0,33,4.427625
46:38.2,33.25,4.425062
46:38.5,33.5,4.4225
46:38.8,33.75,4.419938
46:39.0,34,4.421218
46:39.2,34.25,4.414813
46:39.5,34.5,4.414813
46:39.7,34.75,4.416094
46:40.0,35,4.408407
46:40.3,35.25,4.405845
46:40.5,35.5,4.402001
46:40.8,35.75,4.398158
46:41.0,36,4.40072
46:41.2,36.25,4.391752
46:41.5,36.5,4.395595
46:41.7,36.75,4.387908
46:42.0,37,4.394314
46:42.2,37.25,4.396876
46:42.5,37.5,4.393033
46:42.8,37.75,4.389189
46:43.0,38,4.390471
46:43.2,38.25,4.386627
46:43.5,38.5,4.382783
46:43.7,38.75,4.382783
46:44.0,39,4.384065
46:44.3,39.25,4.386627
46:44.5,39.5,4.389189
46:44.7,39.75,4.381502
46:45.0,40,4.376378
46:45.2,40.25,4.372534
46:45.5,40.5,4.390471
46:45.7,40.75,4.386627
46:46.0,41,4.387908
46:46.3,41.25,4.389189
46:46.5,41.5,4.37894
46:46.8,41.75,4.375096
46:47.0,42,4.369972
46:47.2,42.25,4.36869
46:47.5,42.5,4.373815
46:47.7,42.75,4.372534
46:48.0,43,4.373815
46:48.3,43.25,4.37894
46:48.5,43.5,4.36869
46:48.7,43.75,4.366128
46:49.0,44,4.367409
46:49.2,44.25,4.36869
46:49.5,44.5,4.36869
46:49.7,44.75,4.36869
46:50.0,45,4.359722
46:50.3,45.25,4.359722
46:50.5,45.5,4.359722
46:50.7,45.75,4.364847
46:51.0,46,4.36869
46:51.2,46.25,4.36869
46:51.5,46.5,4.359722
46:51.7,46.75,4.362285
46:52.0,47,4.35716
46:52.3,47.25,4.35716
46:52.5,47.5,4.362285
46:52.7,47.75,4.355878
46:53.0,48,4.350754
46:53.2,48.25,4.350754
46:53.5,48.5,4.35716
46:53.8,48.75,4.362285
46:54.0,49,4.358441
46:54.2,49.25,4.353316
46:54.5,49.5,4.350754
46:54.7,49.75,4.349473
46:55.0,50,4.35716
46:55.2,50.25,4.359722
46:55.5,50.5,4.352035
46:55.8,50.75,4.348192
46:56.0,51,4.349473
46:56.3,51.25,4.348192
46:56.5,51.5,4.349473
46:56.7,51.75,4.337942
46:57.0,52,4.33538
46:57.2,52.25,4.332818
46:57.5,52.5,4.330255
46:57.8,52.75,4.337942
46:58.0,53,4.343067
46:58.2,53.25,4.344348
46:58.5,53.5,4.355878
46:58.7,53.75,4.363565
46:59.0,54,4.372534
46:59.2,54.25,4.380221
46:59.5,54.5,4.389189
46:59.8,54.75,4.389189
47:00.0,55,4.389189
47:00.2,55.25,4.384065
47:00.5,55.5,4.373815
47:00.7,55.75,4.382783
47:01.0,56,4.376378
47:01.2,56.25,4.371253
47:01.5,56.5,4.372534
47:01.8,56.75,4.369972
47:02.0,57,4.377658
47:02.2,57.25,4.37894
47:02.5,57.5,4.377658
47:02.7,57.75,4.380221
47:03.0,58,4.37894
47:03.3,58.25,4.372534
47:03.5,58.5,4.384065
47:03.7,58.75,4.380221
47:04.0,59,4.376378
47:04.2,59.25,4.385345
47:04.5,59.5,4.386627
47:04.7,59.75,4.382783
47:05.0,60,4.380221
47:05.3,60.25,4.371253
47:05.5,60.5,4.384065
47:05.8,60.75,4.371253
47:06.0,61,4.366128
47:06.2,61.25,4.364847
47:06.5,61.5,4.366128
47:06.7,61.75,4.362285
47:07.0,62,4.361003
47:07.3,62.25,4.353316
47:07.5,62.5,4.348192
47:07.8,62.75,4.352035
47:08.0,63,4.362285
47:08.2,63.25,4.36869
47:08.5,63.5,4.372534
47:08.7,63.75,4.376378
47:09.0,64,4.387908
47:09.3,64.25,4.385345
47:09.5,64.5,4.381502
47:09.7,64.75,4.380221
47:10.0,65,4.382783
47:10.2,65.25,4.375096
47:10.5,65.5,4.376378
47:10.7,65.75,4.371253
47:11.0,66,4.364847
47:11.3,66.25,4.367409
47:11.5,66.5,4.364847
47:11.7,66.75,4.363565
47:12.0,67,4.359722
47:12.2,67.25,4.352035
47:12.5,67.5,4.354598
47:12.8,67.75,4.359722
47:13.0,68,4.355878
47:13.2,68.25,4.350754
47:13.5,68.5,4.353316
47:13.7,68.75,4.353316
47:14.0,69,4.355878
47:14.2,69.25,4.350754
47:14.5,69.5,4.352035
47:14.8,69.75,4.354598
47:15.0,70,4.349473
47:15.3,70.25,4.352035
47:15.5,70.5,4.350754
47:15.7,70.75,4.34691
47:16.0,71,4.350754
47:16.2,71.25,4.34691
47:16.5,71.5,4.345629
47:16.8,71.75,4.345629
47:17.0,72,4.349473
47:17.3,72.25,4.348192
47:17.5,72.5,4.352035
47:17.7,72.75,4.344348
47:18.0,73,4.34691
47:18.2,73.25,4.353316
47:18.5,73.5,4.355878
47:18.8,73.75,4.352035
47:19.0,74,4.354598
47:19.2,74.25,4.353316
47:19.5,74.5,4.353316
47:19.7,74.75,4.352035
47:20.0,75,4.349473
47:20.2,75.25,4.341785
47:20.5,75.5,4.341785
47:20.8,75.75,4.337942
47:21.0,76,4.33538
47:21.2,76.25,4.33538
47:21.5,76.5,4.328974
47:21.7,76.75,4.330255
47:22.0,77,4.323849
47:22.3,77.25,4.322568
47:22.5,77.5,4.326412
47:22.7,77.75,4.331536
47:23.0,78,4.327693
47:23.2,78.25,4.330255
47:23.5,78.5,4.32513
47:23.7,78.75,4.328974
47:24.0,79,4.327693
47:24.3,79.25,4.328974
47:24.5,79.5,4.327693
47:24.8,79.75,4.330255
47:25.0,80,4.323849
47:25.2,80.25,4.323849
47:25.5,80.5,4.341785
47:25.7,80.75,4.330255
47:26.0,81,4.326412
47:26.3,81.25,4.317443
47:26.5,81.5,4.318725
47:26.8,81.75,4.314881
47:27.0,82,4.3136
47:27.2,82.25,4.311038
47:27.5,82.5,4.307194
47:27.7,82.75,4.312319
47:28.0,83,4.304632
47:28.3,83.25,4.308475
47:28.5,83.5,4.302069
47:28.7,83.75,4.305912
47:29.0,84,4.296945
47:29.2,84.25,4.296945
47:29.5,84.5,4.294382
47:29.7,84.75,4.293101
47:30.0,85,4.293101
47:30.3,85.25,4.290539
47:30.5,85.5,4.296945
47:30.7,85.75,4.29182
47:31.0,86,4.286695
47:31.2,86.25,4.287976
47:31.5,86.5,4.282852
47:31.8,86.75,4.277727
47:32.0,87,4.279008
47:32.2,87.25,4.277727
47:32.5,87.5,4.275165
47:32.7,87.75,4.27004
47:33.0,88,4.271321
47:33.2,88.25,4.27004
47:33.5,88.5,4.276445
47:33.8,88.75,4.277727
47:34.0,89,4.275165
47:34.3,89.25,4.272602
47:34.5,89.5,4.266196
47:34.7,89.75,4.268759
47:35.0,90,4.262352
47:35.2,90.25,4.264915
47:35.5,90.5,4.263634
47:35.8,90.75,4.254666
47:36.0,91,4.255947
47:36.3,91.25,4.255947
47:36.5,91.5,4.263634
47:36.7,91.75,4.255947
47:37.0,92,4.255947
47:37.2,92.25,4.255947
47:37.5,92.5,4.246979
47:37.8,92.75,4.250822
47:38.0,93,4.245697
