Time,B,Elapsed_Time,TouchTag
29:07.0,0,0,0
29:07.2,0.25,0.833996,0
29:07.5,0.5,1.18016,0
29:07.8,0.75,1.618365,0
29:08.0,1,2.096314,0
29:08.3,1.25,2.584612,0
29:08.5,1.5,2.817832,0
29:08.8,1.75,2.846017,0
29:09.0,2,2.86139,0
29:09.3,2.25,2.875482,0
29:09.5,2.5,2.888293,0
29:09.8,2.75,2.889574,0
29:10.0,3,2.890855,0
29:10.3,3.25,2.903666,0
29:10.5,3.5,2.912634,0
29:10.7,3.75,2.915196,0
29:11.0,4,2.924164,0
29:11.3,4.25,2.928007,0
29:11.5,4.5,2.935824,0
29:11.8,4.75,2.944792,0
29:12.0,5,2.958884,0
29:12.3,5.25,2.961446,0
29:12.5,5.5,2.96657,0
29:12.7,5.75,2.975538,0
29:13.0,6,2.972976,0
29:13.2,6.25,2.985787,0
29:13.5,6.5,2.980663,0
29:13.8,6.75,2.987068,0
29:14.0,7,2.993474,0
29:14.3,7.25,2.998598,0
29:14.5,7.5,2.999879,0
29:14.8,7.75,3.005003,0
29:15.0,8,3.007566,0
29:15.2,8.25,3.01269,0
29:15.5,8.5,3.007566,0
29:15.8,8.75,3.010128,0
29:16.0,9,3.019095,0
29:16.3,9.25,3.01269,0
29:16.5,9.5,3.019095,0
29:16.7,9.75,3.016533,0
29:17.0,10,3.02422,0
29:17.3,10.25,3.026782,0
29:17.5,10.5,3.029344,0
29:17.8,10.75,3.028063,0
29:18.0,11,3.031907,0
29:18.3,11.25,3.03575,0
29:18.5,11.5,3.029344,0
29:18.8,11.75,3.03575,0
29:19.0,12,3.037031,0
29:19.3,12.25,3.040874,0
29:19.5,12.5,3.044718,0
29:19.8,12.75,3.043437,0
29:20.0,13,3.037031,0
29:20.2,13.25,3.045999,0
29:20.5,13.5,3.048561,0
29:20.8,13.75,3.04728,0
29:21.0,14,3.048561,0
29:21.3,14.25,3.05881,0
29:21.5,14.5,3.063934,0
29:21.8,14.75,3.05881,0
29:22.0,15,3.057528,0
29:22.2,15.25,3.060091,0
29:22.5,15.5,3.060091,0
29:22.7,15.75,3.063934,0
29:23.0,16,3.062653,0
29:23.3,16.25,3.070339,0
29:23.5,16.5,3.067777,0
29:23.8,16.75,3.074183,0
29:24.0,17,3.070339,0
29:24.3,17.25,3.075464,0
29:24.5,17.5,3.070339,0
29:24.7,17.75,3.074183,0
29:25.0,18,3.071621,0
29:25.3,18.25,3.072902,0
29:25.5,18.5,3.071621,0
29:25.8,18.75,3.079307,0
29:26.0,19,3.075464,0
29:26.2,19.25,3.079307,0
29:26.5,19.5,3.072902,0
29:26.8,19.75,3.076745,0
29:27.0,20,3.076745,0
29:27.3,20.25,3.074183,0
29:27.5,20.5,3.089556,0
29:27.8,20.75,3.083151,0
29:28.0,21,3.081869,0
29:28.3,21.25,3.080588,0
29:28.5,21.5,3.080588,0
29:28.8,21.75,3.083151,0
29:29.0,22,3.085713,0
29:29.3,22.25,3.081869,0
29:29.5,22.5,3.079307,0
29:29.7,22.75,3.088275,0
29:30.0,23,3.089556,0
29:30.3,23.25,3.088275,0
29:30.5,23.5,3.084432,0
29:30.8,23.75,3.090837,0
29:31.0,24,3.085713,0
29:31.3,24.25,3.092118,0
29:31.5,24.5,3.090837,0
29:31.7,24.75,3.088275,0
29:32.0,25,3.092118,0
29:32.2,25.25,3.088275,0
29:32.5,25.5,3.090837,0
29:32.8,25.75,3.090837,0
29:33.0,26,3.088275,0
29:33.3,26.25,3.098524,0
29:33.5,26.5,3.090837,0
29:33.8,26.75,3.088275,0
29:34.0,27,3.089556,0
29:34.2,27.25,3.09468,0
29:34.5,27.5,3.09468,0
29:34.8,27.75,3.092118,0
29:35.0,28,3.090837,0
29:35.3,28.25,3.09468,0
29:35.5,28.5,3.090837,0
29:35.7,28.75,3.092118,0
29:36.0,29,3.095962,0
29:36.3,29.25,3.097243,0
29:36.5,29.5,3.09468,0
29:36.8,29.75,3.093399,0
29:37.0,30,3.097243,0
29:37.3,30.25,3.095962,0
29:37.5,30.5,3.099805,0
29:37.8,30.75,3.097243,0
29:38.0,31,3.095962,0
29:38.3,31.25,3.098524,0
29:38.5,31.5,3.097243,0
29:38.8,31.75,3.098524,0
29:39.0,32,3.093399,0
29:39.2,32.25,3.098524,0
29:39.5,32.5,3.098524,0
29:39.8,32.75,3.099805,0
29:40.0,33,3.099805,0
29:40.3,33.25,3.104929,0
29:40.5,33.5,3.099805,0
29:40.8,33.75,3.10621,0
29:41.0,34,3.102367,0
29:41.2,34.25,3.103648,0
29:41.5,34.5,3.104929,0
29:41.7,34.75,3.102367,0
29:42.0,35,3.103648,0
29:42.3,35.25,3.101086,0
29:42.5,35.5,3.104929,0
29:42.8,35.75,3.102367,0
29:43.0,36,3.103648,0
29:43.3,36.25,3.102367,0
29:43.5,36.5,3.111335,0
29:43.7,36.75,3.104929,0
29:44.0,37,3.104929,0
29:44.3,37.25,3.103648,0
29:44.5,37.5,3.10621,0
29:44.8,37.75,3.10621,0
29:45.0,38,3.10621,0
29:45.2,38.25,3.107491,0
29:45.5,38.5,3.110054,0
29:45.8,38.75,3.110054,0
29:46.0,39,3.113897,0
29:46.3,39.25,3.115178,0
29:46.5,39.5,3.116459,0
29:46.8,39.75,3.116459,0
29:47.0,40,3.112616,0
29:47.3,40.25,3.120302,0
29:47.5,40.5,3.130551,0
29:47.8,40.75,3.121583,0
29:48.0,41,3.124146,0
29:48.3,41.25,3.121583,0
29:48.5,41.5,3.119021,0
29:48.7,41.75,3.122864,3
29:49.0,42,3.127989,4
29:49.3,42.25,3.124146,1
29:49.5,42.5,3.121583,2
29:49.8,42.75,3.12927,4
29:50.0,43,3.125427,1
29:50.3,43.25,3.124146,3
29:50.5,43.5,3.127989,4
29:50.7,43.75,3.127989,1
29:51.0,44,3.12927,3
29:51.2,44.25,3.12927,4
29:51.5,44.5,3.127989,1
29:51.8,44.75,3.124146,3
29:52.0,45,3.12927,4
29:52.3,45.25,3.12927,1
29:52.5,45.5,3.12927,2
29:52.8,45.75,3.122864,3
29:53.0,46,3.124146,4
29:53.2,46.25,3.125427,1
29:53.5,46.5,3.124146,2
29:53.8,46.75,3.126708,1
29:54.0,47,3.127989,3
29:54.3,47.25,3.127989,4
29:54.5,47.5,3.127989,1
29:54.7,47.75,3.127989,3
29:55.0,48,3.122864,4
29:55.3,48.25,3.127989,1
29:55.5,48.5,3.12927,3
29:55.8,48.75,3.127989,4
29:56.0,49,3.125427,1
29:56.3,49.25,3.127989,3
29:56.5,49.5,3.127989,4
29:56.8,49.75,3.125427,1
29:57.0,50,3.124146,2
29:57.2,50.25,3.134394,4
29:57.5,50.5,3.133113,1
29:57.8,50.75,3.12927,3
29:58.0,51,3.126708,4
29:58.2,51.25,3.126708,1
29:58.5,51.5,3.12927,4
29:58.8,51.75,3.121583,1
29:59.0,52,3.124146,3
29:59.3,52.25,3.130551,4
29:59.5,52.5,3.130551,1
29:59.8,52.75,3.130551,4
30:00.0,53,3.130551,4
30:00.2,53.25,3.131832,4
30:00.5,53.5,3.130551,4
30:00.7,53.75,3.127989,4
30:01.0,54,3.130551,4
30:01.3,54.25,3.12927,4
30:01.5,54.5,3.126708,4
30:01.8,54.75,3.133113,4
30:02.0,55,3.131832,4
30:02.3,55.25,3.12927,4
30:02.5,55.5,3.130551,4
30:02.7,55.75,3.136957,4
30:03.0,56,3.131832,4
30:03.3,56.25,3.134394,4
30:03.5,56.5,3.133113,4
30:03.8,56.75,3.127989,4
30:04.0,57,3.130551,4
30:04.2,57.25,3.133113,4
30:04.5,57.5,3.133113,4
30:04.8,57.75,3.134394,4
30:05.0,58,3.135676,4
30:05.3,58.25,3.134394,4
30:05.5,58.5,3.138238,4
30:05.8,58.75,3.133113,4
30:06.0,59,3.130551,4
30:06.3,59.25,3.134394,4
30:06.5,59.5,3.134394,4
30:06.7,59.75,3.135676,4
30:07.0,60,3.133113,4
30:07.3,60.25,3.134394,4
30:07.5,60.5,3.145924,4
30:07.7,60.75,3.142081,4
30:08.0,61,3.143362,4
30:08.3,61.25,3.139519,4
30:08.5,61.5,3.1408,4
30:08.8,61.75,3.138238,4
30:09.0,62,3.138238,4
30:09.3,62.25,3.138238,4
30:09.5,62.5,3.1408,4
30:09.7,62.75,3.1408,4
30:10.0,63,3.143362,4
