This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. ,,,,,,,,,
Indicate to what extent you feel this way right now. Use the following scale to record your answers:,,,,,,,,,
,,1 = very slightly or not at all,,2 = a little ,,3 = moderately,4 = quite a bit,5 =extremely,
,,,,,,,,49. sheepish,2
1. cheerful,3,13. inspired,3,25. alert,3,37. excited,3,,
,,,,,,,,50. distressed,1
2. digusted ,1,14. fearless,4,26. upset,1,38. hostile,1,,
,,,,,,,,51. blameworthy,2
3. attentive,4,15. disgusted with self,1,27. angry,1,39. proud,4,,
,,,,,,,,52. determined,4
4. bashful,2,16. sad,1,28. bold,4,40. jittery,3,,
,,,,,,,,53. frightened,1
5. sluggish,2,17. calm,3,29. blue,2,41. lively,4,,
,,,,,,,,54. astonished,3
6. daring,3,18. afraid,1,30. shy,2,42. ashamed,1,,
,,,,,,,,55. interested,4
7. surprised,3,19. tired,4,31. active,3,43. at ease,4,,
,,,,,,,,56. loathing,3
8. strong,3,20. amazed,3,32. guilty,1,44. scared,1,,
,,,,,,,,57. confident,4
9. scornful,2,21. shaky,2,33. joyful,3,45. drowsy,3,,
,,,,,,,,58. energetic,3
10. relaxed,5,22. happy,4,34. nervous,2,46. angry at self,1,,
,,,,,,,,59. concentrating,3
11. irritable,3,23. timid,2,35. lonely,3,47. enthusiastic,3,,
,,,,,,,,60. dissatisfied with self,1
12. delighted,4,24. alone,1,36. sleepy,3,48. downhearted,1,,
