This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. ,,,,,,,,,
Indicate to what extent you feel this way right now. Use the following scale to record your answers:,,,,,,,,,
,,1 = very slightly or not at all,,2 = a little ,,3 = moderately,,5 =extremely,
,,,,,,,,,
1. cheerful,5,13. inspired,1,25. alert,3,37. excited,3,49. sheepish,1
,,,,,,,,,
2. digusted ,1,14. fearless,5,26. upset,1,38. hostile,1,50. distressed,1
,,,,,,,,,
3. attentive,5,15. disgusted with self,1,27. angry,1,39. proud,3,51. blameworthy,1
,,,,,,,,,
4. bashful,1,16. sad,1,28. bold,5,40. jittery,1,52. determined,3
,,,,,,,,,
5. sluggish,1,17. calm,5,29. blue,1,41. lively,2,53. frightened,1
,,,,,,,,,
6. daring,5,18. afraid,1,30. shy,1,42. ashamed,1,54. astonished,1
,,,,,,,,,
7. surprised,1,19. tired,2,31. active,3,43. at ease,3,55. interested,2
,,,,,,,,,
8. strong,5,20. amazed,1,32. guilty,1,44. scared,1,56. loathing,1
,,,,,,,,,
9. scornful,1,21. shaky,1,33. joyful,2,45. drowsy,3,57. confident,3
,,,,,,,,,
10. relaxed,3,22. happy,3,34. nervous,1,46. angry at self,1,58. energetic,3
,,,,,,,,,
11. irritable,1,23. timid,1,35. lonely,1,47. enthusiastic,3,59. concentrating,3
,,,,,,,,,
12. delighted,1,24. alone,1,36. sleepy,3,48. downhearted,1,60. dissatisfied with self,1
