EDA_Time,Measurement,TouchTag,SubjectID,,SubjectID,Average EDA,Max EDA
20:42.2,0,0,B1,,B1,0.413035797,0.634068
20:42.5,0.358665,0,B1,,B3,Ê9.713363,12.753
20:42.8,0.409902,0,B1,,B4,Ê0.481344,Ê0.829138
15:20:43,0.411183,0,B1,,B5,1.065982,3.56894
20:43.3,0.413745,0,B1,,B6,0.221913,0.435548
20:43.5,0.413745,0,B1,,B7,0.100112,0.375629
20:43.8,0.415026,0,B1,,B8,0.665943,4.32256
15:20:44,0.417588,0,B1,,B9,0.19972,0.247252
20:44.2,0.415026,0,B1,,B10,0.482129,1.48385
20:44.5,0.418869,0,B1,,B11,0.201772,0.33821
20:44.8,0.416307,0,B1,,B12,Ê0.402655,0.655923
15:20:45,0.418869,0,B1,,B13,Ê2.926515,3.57257
20:45.3,0.418869,0,B1,,B14,2.726889,9.75312
20:45.5,0.416307,0,B1,,B15,0.14368,0.1627
20:45.7,0.418869,0,B1,,B16,6.062733,8.6788
15:20:46,0.416307,0,B1,,B17,Ê0.869736,1.0213
20:46.3,0.416307,0,B1,,B18,1.243166,1.81703
20:46.5,0.416307,0,B1,,B19,0.175567,0.211381
20:46.8,0.416307,0,B1,,B20,0.352385,0.640588
15:20:47,0.42015,0,B1,,B21,3.224751,3.29709
20:47.3,0.417588,0,B1,,B22,1.90842,4.42915
20:47.5,0.418869,0,B1,,,,
20:47.8,0.42015,0,B1,,,,
15:20:48,0.418869,0,B1,,,,
20:48.3,0.421431,0,B1,,,,
20:48.5,0.432959,0,B1,,,,
20:48.8,0.42015,0,B1,,,,
15:20:49,0.421431,0,B1,,,,
20:49.2,0.417588,0,B1,,,,
20:49.5,0.418869,0,B1,,,,
20:49.8,0.418869,0,B1,,,,
15:20:50,0.418869,0,B1,,,,
20:50.3,0.42015,0,B1,,,,
20:50.5,0.417588,0,B1,,,,
20:50.8,0.42015,0,B1,,,,
15:20:51,0.417588,0,B1,,,,
20:51.2,0.42015,0,B1,,,,
20:51.5,0.42015,0,B1,,,,
20:51.7,0.417588,0,B1,,,,
15:20:52,0.418869,0,B1,,,,
20:52.3,0.423993,0,B1,,,,
20:52.5,0.404779,0,B1,,,,
20:52.8,0.407341,0,B1,,,,
15:20:53,0.403498,0,B1,,,,
20:53.3,0.40606,0,B1,,,,
20:53.5,0.407341,0,B1,,,,
20:53.7,0.40606,0,B1,,,,
15:20:54,0.411183,0,B1,,,,
20:54.3,0.409902,0,B1,,,,
20:54.5,0.412464,0,B1,,,,
20:54.8,0.409902,0,B1,,,,
15:20:55,0.412464,0,B1,,,,
20:55.2,0.415026,0,B1,,,,
20:55.5,0.413745,0,B1,,,,
20:55.8,0.415026,0,B1,,,,
15:20:56,0.415026,0,B1,,,,
20:56.3,0.416307,0,B1,,,,
20:56.5,0.42015,0,B1,,,,
20:56.8,0.416307,0,B1,,,,
15:20:57,0.417588,0,B1,,,,
20:57.3,0.415026,0,B1,,,,
20:57.5,0.415026,0,B1,,,,
20:57.8,0.417588,0,B1,,,,
15:20:58,0.413745,0,B1,,,,
20:58.3,0.416307,0,B1,,,,
20:58.5,0.415026,0,B1,,,,
20:58.7,0.415026,0,B1,,,,
15:20:59,0.417588,0,B1,,,,
20:59.3,0.415026,0,B1,,,,
20:59.5,0.415026,0,B1,,,,
20:59.8,0.415026,0,B1,,,,
15:21:00,0.415026,0,B1,,,,
21:00.3,0.415026,0,B1,,,,
21:00.5,0.413745,0,B1,,,,
21:00.7,0.415026,0,B1,,,,
15:21:01,0.413745,0,B1,,,,
21:01.2,0.415026,0,B1,,,,
21:01.5,0.416307,0,B1,,,,
21:01.8,0.413745,0,B1,,,,
15:21:02,0.416307,0,B1,,,,
21:02.3,0.415026,0,B1,,,,
21:02.5,0.415026,0,B1,,,,
21:02.8,0.416307,0,B1,,,,
15:21:03,0.412464,0,B1,,,,
21:03.2,0.413745,0,B1,,,,
21:03.5,0.413745,0,B1,,,,
21:03.8,0.415026,0,B1,,,,
15:21:04,0.415026,0,B1,,,,
21:04.3,0.413745,0,B1,,,,
21:04.5,0.413745,0,B1,,,,
21:04.7,0.413745,0,B1,,,,
15:21:05,0.415026,0,B1,,,,
21:05.3,0.417588,0,B1,,,,
21:05.5,0.416307,0,B1,,,,
21:05.8,0.417588,0,B1,,,,
15:21:06,0.417588,0,B1,,,,
21:06.3,0.416307,0,B1,,,,
21:06.5,0.42015,0,B1,,,,
21:06.8,0.417588,0,B1,,,,
15:21:07,0.42015,0,B1,,,,
21:07.3,0.422712,0,B1,,,,
21:07.5,0.422712,0,B1,,,,
21:07.8,0.426555,0,B1,,,,
15:21:08,0.425274,0,B1,,,,
21:08.2,0.427836,0,B1,,,,
21:08.5,0.425274,0,B1,,,,
21:08.8,0.425274,0,B1,,,,
15:21:09,0.427836,0,B1,,,,
21:09.3,0.426555,0,B1,,,,
21:09.5,0.426555,0,B1,,,,
21:09.8,0.426555,0,B1,,,,
15:21:10,0.423993,0,B1,,,,
21:10.2,0.425274,0,B1,,,,
21:10.5,0.421431,0,B1,,,,
21:10.7,0.421431,0,B1,,,,
15:21:11,0.422712,0,B1,,,,
21:11.3,0.425274,0,B1,,,,
21:11.5,0.425274,0,B1,,,,
21:11.8,0.422712,0,B1,,,,
15:21:12,0.423993,0,B1,,,,
21:12.3,0.425274,0,B1,,,,
21:12.5,0.422712,0,B1,,,,
21:12.7,0.423993,0,B1,,,,
15:21:13,0.421431,0,B1,,,,
21:13.3,0.421431,0,B1,,,,
21:13.5,0.423993,0,B1,,,,
21:13.8,0.423993,0,B1,,,,
15:21:14,0.425274,0,B1,,,,
21:14.2,0.423993,0,B1,,,,
21:14.5,0.426555,0,B1,,,,
21:14.8,0.427836,0,B1,,,,
15:21:15,0.425274,0,B1,,,,
21:15.3,0.426555,0,B1,,,,
21:15.5,0.425274,0,B1,,,,
21:15.8,0.426555,0,B1,,,,
15:21:16,0.429117,0,B1,,,,
21:16.3,0.429117,0,B1,,,,
21:16.5,0.430398,0,B1,,,,
21:16.8,0.429117,0,B1,,,,
15:21:17,0.430398,0,B1,,,,
21:17.3,0.431679,0,B1,,,,
21:17.5,0.429117,3,B1,,,,
21:17.7,0.430398,1,B1,,,,
15:21:18,0.427836,2,B1,,,,
21:18.3,0.426555,1,B1,,,,
21:18.5,0.426555,2,B1,,,,
21:18.8,0.425274,1,B1,,,,
15:21:19,0.425274,2,B1,,,,
21:19.3,0.422712,1,B1,,,,
21:19.5,0.422712,2,B1,,,,
21:19.7,0.432959,3,B1,,,,
15:21:20,0.39325,1,B1,,,,
21:20.2,0.426555,2,B1,,,,
21:20.5,0.422712,3,B1,,,,
21:20.8,0.438083,1,B1,,,,
15:21:21,0.439364,2,B1,,,,
21:21.3,0.435521,3,B1,,,,
21:21.5,0.435521,1,B1,,,,
21:21.8,0.43424,2,B1,,,,
15:21:22,0.439364,1,B1,,,,
21:22.2,0.431679,2,B1,,,,
21:22.5,0.423993,1,B1,,,,
21:22.8,0.425274,2,B1,,,,
15:21:23,0.42015,3,B1,,,,
21:23.3,0.430398,4,B1,,,,
21:23.5,0.432959,1,B1,,,,
21:23.7,0.417588,2,B1,,,,
15:21:24,0.412464,1,B1,,,,
21:24.3,0.411183,2,B1,,,,
21:24.5,0.408622,3,B1,,,,
21:24.8,0.409902,1,B1,,,,
15:21:25,0.409902,2,B1,,,,
21:25.3,0.411183,1,B1,,,,
21:25.5,0.413745,2,B1,,,,
21:25.8,0.412464,1,B1,,,,
15:21:26,0.413745,2,B1,,,,
21:26.2,0.412464,1,B1,,,,
21:26.5,0.415026,2,B1,,,,
21:26.8,0.416307,1,B1,,,,
15:21:27,0.413745,2,B1,,,,
21:27.2,0.415026,1,B1,,,,
21:27.5,0.415026,2,B1,,,,
21:27.8,0.412464,1,B1,,,,
15:21:28,0.413745,2,B1,,,,
21:28.3,0.412464,1,B1,,,,
21:28.5,0.413745,2,B1,,,,
21:28.8,0.415026,1,B1,,,,
15:21:29,0.409902,2,B1,,,,
21:29.2,0.413745,1,B1,,,,
21:29.5,0.412464,2,B1,,,,
21:29.7,0.411183,1,B1,,,,
15:21:30,0.413745,2,B1,,,,
21:30.3,0.415026,3,B1,,,,
21:30.5,0.412464,1,B1,,,,
21:30.8,0.417588,2,B1,,,,
15:21:31,0.417588,1,B1,,,,
21:31.3,0.418869,2,B1,,,,
21:31.5,0.42015,1,B1,,,,
