SubjectID,Gender,General Negative Affect-Control,Fear-Control,Sadness-Control,Guilt-Control,Hostility-Control,Shyness-Control,Fatigue-Control,General Positive Affect-Control,Joviality-Control,Self-Assurance-Control,Attentiveness-Control,Serenity-Control,Surprise-Control,General Negative Affect-Experimental,Fear-Experimental,Sadness-Experimental,Guilt-Experimental,Hostility-Experimental,Shyness-Experimental,Fatigue-Experimental,General Positive Affect-Experimental,Joviality-Experimental,Self-Assurance-Experimental,Attentiveness-Experimental,Serenity-Experimental,Surprise-Experimental
1,0,13,7,5,6,6,6,9,28,21,16,13,10,3,14,8,6,6,6,7,12,29,20,16,15,10,5
2,0,10,6,5,6,6,4,4,46,29,24,20,14,3,10,6,5,6,6,4,4,45,30,23,20,12,3
3,0,11,7,5,6,6,11,10,44,32,26,17,12,7,10,6,5,6,6,5,8,38,29,24,15,11,6
4,0,10,6,5,6,6,5,4,31,18,20,15,14,4,11,6,5,7,6,4,6,29,17,20,18,15,6
5,0,10,6,5,6,6,4,4,28,30,12,10,12,3,10,6,5,6,6,4,4,31,33,12,10,9,3
6,0,10,6,5,6,6,4,7,28,30,16,8,13,7,10,6,5,6,6,5,4,37,29,17,15,9,10
7,0,11,6,5,6,7,4,9,23,20,14,11,13,3,10,6,5,6,6,4,12,22,20,12,8,14,4
8,0,10,8,5,7,6,5,4,33,33,13,16,13,6,10,6,5,6,6,4,4,38,36,12,18,13,7
9,0,17,8,8,8,8,6,7,38,33,21,14,11,12,13,7,7,6,9,5,6,45,37,21,16,13,14
10,0,11,7,6,6,6,4,6,26,29,15,11,12,6,11,7,8,6,6,5,6,32,37,15,12,11,7
11,0,10,6,5,6,6,4,4,40,31,19,19,13,3,10,6,5,6,6,4,4,38,29,19,17,12,3
12,0,12,8,5,6,8,10,6,20,21,10,8,10,3,12,8,5,6,6,6,4,24,27,12,8,9,7
13,0,10,6,5,6,6,5,7,24,15,13,13,8,5,10,6,5,6,6,4,7,32,24,18,14,10,6
14,0,11,6,6,7,10,4,5,42,37,23,18,14,3,10,6,5,6,6,4,4,44,37,27,18,13,6
15,0,13,6,6,6,7,4,4,21,11,13,16,9,3,10,6,5,6,6,5,4,25,11,14,16,12,3
16,0,10,6,5,6,6,6,4,33,31,17,14,11,5,10,6,5,6,6,6,4,38,32,18,15,12,6
17,0,10,6,5,6,6,4,5,36,26,19,16,14,6,10,6,5,6,6,4,4,32,25,17,14,12,6
18,0,11,6,5,6,8,4,4,32,31,18,12,6,6,10,6,5,6,6,4,5,32,30,17,15,12,7
19,0,10,6,5,6,6,4,9,33,34,16,10,12,7,10,6,5,6,6,4,4,39,36,22,13,10,8
20,0,10,6,5,6,6,4,4,44,39,21,17,14,7,10,6,5,6,6,4,4,43,37,22,15,14,8
21,0,12,7,5,6,7,4,11,15,8,8,10,4,4,19,6,7,10,14,4,8,18,10,10,13,3,3
22,0,10,6,7,6,6,4,8,21,13,11,10,10,3,10,6,5,6,6,4,8,15,11,8,9,12,3
1,1,10,6,5,6,6,5,7,28,22,18,9,10,5,11,7,5,6,6,6,6,29,21,16,12,10,7
2,1,11,6,6,6,6,5,4,24,22,8,11,10,3,10,6,5,6,6,7,4,22,24,6,10,12,3
3,1,11,7,5,6,6,7,4,30,22,18,16,12,3,10,6,5,6,6,7,4,34,21,18,18,14,3
4,1,19,13,8,7,15,8,14,35,27,22,16,11,9,15,10,8,7,11,8,12,34,27,22,14,12,9
5,1,13,8,5,6,7,14,4,35,30,19,14,14,8,13,7,5,6,8,12,5,34,34,15,13,13,8
6,1,10,6,5,6,6,4,4,50,40,30,20,15,11,10,6,5,6,6,4,9,31,22,26,14,11,3
