SubjectID,Gender,Extraversion,Agreeableness,Conscientiousness,Emotional Stability,Intellect/Openness,Action,TouchTotal,SoftTouch,MediumTouch,HardTouch
1,Female,5.375,7.625,6.125,7.375,5.5,Sent,66,42,22,2
1,Female,5.375,7.625,6.125,7.375,5.5,Received,42,37,1,4
1,Male,6.25,5.875,7.75,7.375,7.5,Sent,42,37,1,4
1,Male,6.25,5.875,7.75,7.375,7.5,Received,65,41,22,2
2,Female,6.0,8.125,8.75,7.75,6.125,Sent,65,41,22,2
2,Female,6.0,8.125,8.75,7.75,6.125,Received,126,111,3,12
2,Male,4.625,5.125,4.25,4.375,6.125,Sent,126,111,3,12
2,Male,4.625,5.125,4.25,4.375,6.125,Received,65,41,22,2
3,Female,4.125,7.125,4.625,5.5,7.0,Sent,40,14,12,14
3,Female,4.125,7.125,4.625,5.5,7.0,Received,16,8,6,2
3,Male,4.875,4.75,8.25,7.125,6.125,Sent,16,8,6,2
3,Male,4.875,4.75,8.25,7.125,6.125,Received,40,14,12,14
4,Female,4.125,8.125,6.25,5.25,5.75,Sent,32,7,15,10
4,Female,4.125,8.125,6.25,5.25,5.75,Received,35,29,6,0
4,Male,5.125,5.625,6.5,4.125,7.625,Sent,37,31,6,0
4,Male,5.125,5.625,6.5,4.125,7.625,Received,32,7,15,10
5,Female,8.0,8.25,8.125,5.125,6.75,Sent,15,1,9,5
5,Female,8.0,8.25,8.125,5.125,6.75,Received,13,0,6,7
5,Male,2.375,5.75,6.625,5.75,4.625,Sent,13,0,6,7
5,Male,2.375,5.75,6.625,5.75,4.625,Received,15,1,9,5
6,Female,4.375,5.25,5.0,3.625,6.75,Sent,196,59,71,66
6,Female,4.375,5.25,5.0,3.625,6.75,Received,151,35,46,70
6,Male,6.0,5.625,6.375,6.0,7.625,Sent,153,35,46,72
6,Male,6.0,5.625,6.375,6.0,7.625,Received,194,59,70,65
7,Female,7.75,7.625,6.625,6.125,6.625,Sent,18,2,13,3
7,Female,7.75,7.625,6.625,6.125,6.625,Received,45,35,4,6
7,Male,3.375,5.875,7.125,6.125,6.75,Sent,45,35,4,6
7,Male,3.375,5.875,7.125,6.125,6.75,Received,18,2,13,3
8,Female,4.75,6.875,8.125,6.375,7.375,Sent,105,42,50,13
8,Female,4.75,6.875,8.125,6.375,7.375,Received,569,499,58,12
8,Male,5.375,8.125,5.75,6.875,6.75,Sent,570,500,57,13
8,Male,5.375,8.125,5.75,6.875,6.75,Received,105,42,50,13
9,Female,3.375,5.625,6.5,6.125,3.5,Sent,6,1,5,0
9,Female,3.375,5.625,6.5,6.125,3.5,Received,9,5,4,0
9,Male,6.75,7.125,5.75,5.375,6.625,Sent,9,5,4,0
